,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,AV Latitude
0,Mataura,0,NZ,1543246680,80,-46.19,168.86,48.62,11.77,46.19
1,Vaini,8,IN,1543246681,47,15.34,74.49,77.51,5.95,15.34
2,Ponta do Sol,36,BR,1543246683,99,-20.63,-46.0,72.83,4.72,20.63
3,East London,92,ZA,1543246684,100,-33.02,27.91,70.58,6.85,33.02
4,Flinders,0,AU,1543246685,97,-34.58,150.85,56.05,1.59,34.58
5,Kapaa,8,US,1543246686,100,22.08,-159.32,67.61,4.5,22.08
6,Ilulissat,80,GL,1543246679,96,69.22,-51.1,18.02,1.92,69.22
7,Tanhacu,92,BR,1543246689,89,-14.02,-41.25,70.45,3.71,14.02
8,Nortelandia,64,BR,1543246690,100,-14.45,-56.8,79.67,4.16,14.45
9,Dalnegorsk,0,RU,1543246691,74,44.56,135.58,32.96,6.85,44.56
10,Tasiilaq,32,GL,1543246692,100,65.61,-37.64,28.42,6.17,65.61
11,Garowe,8,SO,1543246694,32,8.41,48.48,87.23,9.53,8.41
12,Henties Bay,0,NA,1543246695,83,-22.12,14.28,66.49,8.86,22.12
13,Alice Springs,64,AU,1543246696,63,-23.7,133.88,75.4,10.98,23.7
14,Alofi,88,NU,1543246697,99,-19.06,-169.92,79.49,8.41,19.06
15,Bredasdorp,92,ZA,1543246699,96,-34.53,20.04,63.65,24.52,34.53
16,Ushuaia,56,AR,1543246463,63,-54.81,-68.31,47.14,17.13,54.81
17,Arraial do Cabo,12,BR,1543246475,93,-22.97,-42.02,77.42,12.21,22.97
18,Atuona,24,PF,1543246702,100,-9.8,-139.03,80.12,17.13,9.8
19,Narsaq,0,GL,1543246703,58,60.91,-46.05,12.04,3.6,60.91
20,Ibirama,32,BR,1543246704,75,-27.05,-49.52,72.52,5.06,27.05
21,Roanoke Rapids,24,US,1543246706,97,36.46,-77.65,55.46,14.56,36.46
22,Makakilo City,0,US,1543246707,93,21.35,-158.09,63.74,2.82,21.35
23,Dikson,48,RU,1543246708,100,73.51,80.55,-1.11,3.71,73.51
24,Bluff,0,AU,1543246709,45,-23.58,149.07,67.52,2.93,23.58
25,Hofn,76,IS,1543246711,100,64.25,-15.21,39.17,3.38,64.25
26,Rikitea,20,PF,1543246712,97,-23.12,-134.97,76.97,11.99,23.12
27,Cherskiy,36,RU,1543246713,47,68.75,161.3,-29.05,2.71,68.75
28,Punta Arenas,48,CL,1543246714,85,-53.16,-70.91,47.36,23.17,53.16
29,Elk Plain,92,US,1543246715,94,47.04,-122.37,43.09,5.28,47.04
30,Saskylakh,56,RU,1543246717,54,71.97,114.09,-31.44,3.15,71.97
31,Albany,80,US,1543246507,98,42.65,-73.75,35.35,4.05,42.65
32,Hilo,64,US,1543246719,100,19.71,-155.08,74.45,6.73,19.71
33,Harper,0,US,1543246720,42,30.3,-99.24,38.59,8.19,30.3
34,Saint-Philippe,92,CA,1543246721,95,45.36,-73.48,36.11,5.17,45.36
35,Maldonado,24,UY,1543246723,62,-34.91,-54.96,77.06,3.94,34.91
36,Abalak,0,NE,1543246724,14,15.46,6.28,92.77,11.65,15.46
37,Srednekolymsk,64,RU,1543246725,60,67.46,153.71,-20.59,2.93,67.46
38,Sulphur,68,US,1543246432,100,30.24,-93.38,48.49,15.46,30.24
39,Jamestown,64,AU,1543246728,96,-33.21,138.6,52.27,2.59,33.21
40,Qaanaaq,0,GL,1543246729,98,77.48,-69.36,-12.36,7.4,77.48
41,Fairbanks,48,US,1543246532,68,64.84,-147.72,24.77,11.32,64.84
42,Barcelos,0,PT,1543246731,76,41.53,-8.62,54.29,3.04,41.53
43,Pauini,32,BR,1543246733,78,-7.71,-67.0,84.67,3.6,7.71
44,Pandharpur,0,IN,1543246734,55,17.68,75.33,68.96,2.37,17.68
45,Cape Town,92,ZA,1543246462,97,-33.93,18.42,61.76,25.41,33.93
46,Itarema,8,BR,1543246736,56,-2.92,-39.92,91.6,16.02,2.92
47,Nanortalik,0,GL,1543246666,85,60.14,-45.24,32.96,2.15,60.14
48,Salalah,48,OM,1543246738,100,17.01,54.1,78.77,8.19,17.01
49,Mahebourg,92,MU,1543246739,97,-20.41,57.7,73.55,9.31,20.41
50,Levanger,80,NO,1543246741,100,63.75,11.3,27.7,2.82,63.75
51,Busselton,0,AU,1543246742,100,-33.64,115.35,56.81,14.79,33.64
52,Chokurdakh,36,RU,1543246743,52,70.62,147.9,-17.67,3.04,70.62
53,Katsuura,92,JP,1543246744,99,33.93,134.5,49.7,2.82,33.93
54,Dunmore Town,56,BS,1543246746,100,25.5,-76.65,80.84,9.08,25.5
55,Caravelas,20,BR,1543246635,100,-17.73,-39.27,76.57,8.75,17.73
56,Souillac,68,FR,1543246748,93,45.6,-0.6,46.42,9.75,45.6
57,Seoul,0,KR,1543246749,73,37.57,126.98,20.54,2.15,37.57
58,Brownsville,24,US,1543246687,100,25.91,-97.49,59.69,24.4,25.91
59,Longyearbyen,8,NO,1543246751,100,78.22,15.63,-10.96,1.7,78.22
60,Black River,0,JM,1543246753,93,18.03,-77.85,82.55,7.4,18.03
61,Aracati,8,BR,1543246566,40,-4.56,-37.77,96.32,11.88,4.56
62,Palmer,76,AU,1543246755,86,-34.85,139.16,56.05,6.06,34.85
63,Kodinsk,56,RU,1543246756,63,58.6,99.18,6.55,3.71,58.6
64,Upernavik,20,GL,1543246758,100,72.79,-56.15,9.7,23.29,72.79
65,Bilma,0,NE,1543246759,14,18.69,12.92,85.61,7.63,18.69
66,Mar del Plata,12,AR,1543246653,32,-46.43,-67.52,70.99,11.21,46.43
67,Butaritari,20,KI,1543246761,100,3.07,172.79,83.0,6.62,3.07
68,Mount Gambier,48,AU,1543246596,89,-37.83,140.78,53.75,3.83,37.83
69,Togur,64,RU,1543246763,80,58.36,82.83,1.73,3.27,58.36
70,Port Alfred,68,ZA,1543246764,81,-33.59,26.89,71.48,6.4,33.59
71,Bela,56,PK,1543246766,64,26.23,66.31,60.82,2.48,26.23
72,Cabo San Lucas,8,MX,1543246570,100,22.89,-109.91,73.91,7.4,22.89
73,Sao Joao da Barra,24,BR,1543246768,100,-21.64,-41.05,78.19,10.42,21.64
74,Tocopilla,24,CL,1543246769,94,-22.09,-70.2,65.45,4.94,22.09
75,Puerto Ayora,56,EC,1543246770,99,-0.74,-90.35,72.07,11.99,0.74
76,Guerrero Negro,56,MX,1543246772,93,27.97,-114.04,56.9,3.49,27.97
77,Thompson,56,CA,1543246773,72,55.74,-97.86,-2.32,6.4,55.74
78,Solnechnyy,92,RU,1543246774,80,50.72,136.64,1.28,3.94,50.72
79,Koslan,80,RU,1543246775,85,63.46,48.9,18.97,4.16,63.46
80,Matara,24,PE,1543246776,77,-13.74,-72.9,54.11,0.81,13.74
81,Jacareacanga,56,BR,1543246778,80,-6.22,-57.76,84.94,2.93,6.22
82,Xichang,0,CN,1543246779,93,27.88,102.25,37.91,1.7,27.88
83,Komsomolskiy,68,RU,1543246780,68,67.55,63.78,-5.34,6.4,67.55
84,Morondava,32,MG,1543246781,66,-20.3,44.28,86.42,6.73,20.3
85,Barranco,44,BR,1543246782,79,-20.59,-41.2,73.6,3.15,20.59
86,Fort Nelson,76,CA,1543246784,99,58.81,-122.69,12.4,3.15,58.81
87,Lebu,0,ET,1543246785,56,8.96,38.73,62.8,7.63,8.96
88,Muroto,92,JP,1543246786,100,33.37,134.14,53.03,2.15,33.37
89,Grindavik,88,IS,1543246787,100,63.84,-22.43,44.39,22.28,63.84
90,Klyuchevskiy,68,RU,1543246788,56,53.53,119.45,-2.64,6.06,53.53
91,Adrar,0,DZ,1543246789,36,27.87,-0.29,74.27,7.29,27.87
92,Falmouth,36,GB,1543246791,100,50.16,-5.07,44.48,3.94,50.16
93,Bathsheba,0,BB,1543246792,100,13.22,-59.52,81.38,17.47,13.22
94,Point Pleasant,68,US,1543246793,95,40.08,-74.07,52.22,19.71,40.08
95,Belmonte,0,PT,1543246794,76,40.36,-7.35,52.72,7.18,40.36
96,Noyabrsk,56,RU,1543246796,54,63.2,75.45,-18.61,4.16,63.2
97,Ust-Karsk,64,RU,1543246797,61,52.71,118.82,-0.61,4.38,52.71
98,Hermanus,92,ZA,1543246798,97,-34.42,19.24,59.51,6.73,34.42
99,Hobart,36,AU,1543246752,99,-42.88,147.33,51.32,2.04,42.88
100,Cidreira,24,BR,1543246800,80,-30.17,-50.22,72.92,11.21,30.17
101,Tairua,92,NZ,1543246802,93,-37.02,175.85,56.59,2.59,37.02
102,Haines Junction,92,CA,1543246804,92,60.75,-137.51,27.2,3.15,60.75
103,Nova Olinda do Norte,88,BR,1543246805,99,-3.89,-59.1,79.4,5.61,3.89
104,Hithadhoo,12,MV,1543246806,100,-0.6,73.08,84.4,4.05,0.6
105,Tuktoyaktuk,44,CA,1543246808,100,69.44,-133.03,4.7,17.47,69.44
106,Inuvik,44,CA,1543246810,70,68.36,-133.71,-10.11,2.37,68.36
107,Uruzgan,88,AF,1543246811,31,32.93,66.63,45.38,5.39,32.93
108,Zaysan,8,KZ,1543246812,59,47.47,84.87,-0.43,2.15,47.47
109,Coquimbo,0,CL,1543246800,95,-29.95,-71.34,62.17,3.83,29.95
110,Kruisfontein,48,ZA,1543246814,82,-34.0,24.73,70.13,10.98,34.0
111,Touros,56,BR,1543246815,71,-5.2,-35.46,85.79,15.46,5.2
112,Krasnyy Yar,88,RU,1543246817,96,50.7,44.73,31.52,8.19,50.7
113,Cefalu,24,IT,1543246818,92,38.04,14.02,56.32,6.4,38.04
114,Ilhabela,24,BR,1543246644,100,-23.78,-45.36,71.62,12.1,23.78
115,Castro,24,CL,1543246820,74,-42.48,-73.76,57.22,6.4,42.48
116,Thunder Bay,24,CA,1543246822,69,48.41,-89.26,12.98,8.41,48.41
117,Novouzensk,80,RU,1543246823,89,50.46,48.14,27.83,10.54,50.46
118,Ribeira Grande,92,PT,1543246824,92,38.52,-28.7,66.17,30.0,38.52
119,Hoquiam,92,US,1543246825,98,46.98,-123.89,48.35,8.97,46.98
120,Abong Mbang,20,CM,1543246826,63,3.98,13.18,83.54,2.71,3.98
121,Sao Gabriel da Cachoeira,36,BR,1543246827,84,-0.13,-67.09,84.22,2.93,0.13
122,Carmo do Paranaiba,24,BR,1543246799,87,-19.0,-46.32,77.02,7.4,19.0
123,Halifax,0,CA,1543246536,100,44.65,-63.58,36.29,14.56,44.65
124,Cascais,24,PT,1543246833,99,38.7,-9.42,59.74,9.19,38.7
125,Lukulu,48,ZM,1543246834,76,-14.38,23.24,74.77,10.54,14.38
126,Yellowknife,68,CA,1543246569,91,62.45,-114.38,22.07,14.67,62.45
127,San Borja,20,BO,1543246837,68,-14.86,-66.75,84.49,2.82,14.86
128,Basoko,44,CD,1543246838,79,1.23,23.61,81.25,4.38,1.23
129,Avarua,92,CK,1543246839,100,-21.21,-159.78,75.8,5.61,21.21
130,Astaneh-ye Ashrafiyeh,56,IR,1543246626,99,37.26,49.94,47.54,2.15,37.26
131,Berezniki,80,RU,1543246842,90,59.41,56.8,22.12,9.64,59.41
132,Chapais,92,CA,1543246843,89,49.78,-74.86,34.13,8.75,49.78
133,Itoman,92,JP,1543246844,100,26.12,127.67,75.22,14.45,26.12
134,Mendi,12,ET,1543246845,34,9.8,35.1,79.04,2.37,9.8
135,Boksburg,48,ZA,1543246846,28,-26.21,28.26,81.65,4.38,26.21
136,Zhigansk,12,RU,1543246847,50,66.77,123.37,-30.13,7.18,66.77
137,Cubuk,80,TR,1543246849,89,40.24,33.03,39.8,3.38,40.24
138,Airai,56,TL,1543246850,94,-8.93,125.41,70.9,1.36,8.93
139,Kamina,24,CD,1543246851,65,-8.74,25.0,81.56,5.17,8.74
140,Clyde River,44,CA,1543246852,84,70.47,-68.59,-19.06,1.14,70.47
141,Keflavik,32,IS,1543246853,100,64.0,-22.56,42.14,17.69,64.0
142,Vallenar,8,CL,1543246855,75,-28.58,-70.76,69.55,2.93,28.58
143,Sao Borja,44,BR,1543246634,66,-28.66,-56.0,80.39,14.67,28.66
144,Bereznik,88,RU,1543246857,91,62.86,42.71,24.1,5.06,62.86
145,Ambon,8,FR,1543246858,96,47.55,-2.56,48.67,7.4,47.55
146,Yulara,0,AU,1543246859,17,-25.24,130.99,78.41,14.56,25.24
147,Samarai,8,PG,1543246861,100,-10.62,150.67,81.52,4.72,10.62
148,Barrow,20,AR,1543246862,76,-38.31,-60.23,74.59,4.61,38.31
149,Santa Cruz,0,US,1543246681,87,36.97,-122.03,37.82,2.37,36.97
150,Carnarvon,8,ZA,1543246866,16,-30.97,22.13,83.0,18.59,30.97
151,Nuzvid,0,IN,1543246867,66,16.79,80.85,69.77,2.48,16.79
152,Kotovo,88,RU,1543246868,95,50.32,44.8,32.51,10.54,50.32
153,Atambua,88,ID,1543246870,100,-9.11,124.89,77.29,2.48,9.11
154,Boende,32,CD,1543246871,100,-0.28,20.88,74.54,2.93,0.28
155,Imeni Stepana Razina,88,RU,1543246872,88,54.89,44.3,19.42,4.27,54.89
156,Esperance,8,TT,1543246873,59,10.24,-61.45,87.37,7.63,10.24
157,Mushie,0,CD,1543246874,69,-3.02,16.92,85.61,2.59,3.02
158,Iqaluit,80,CA,1543246876,100,63.75,-68.52,21.22,9.19,63.75
159,Pangai,0,TO,1543246877,100,-19.8,-174.35,79.27,11.43,19.8
160,Shenzhen,0,CN,1543246599,99,22.54,114.05,59.15,4.16,22.54
161,Zhezkazgan,80,KZ,1543246879,76,47.8,67.71,14.15,7.85,47.8
162,Georgetown,88,GY,1543246826,72,6.8,-58.16,84.98,9.98,6.8
163,Codrington,0,AU,1543246882,84,-28.95,153.24,57.53,1.7,28.95
164,Los Andes,0,CL,1543246883,63,-32.83,-70.6,66.89,2.59,32.83
165,Volodarsk,92,UA,1543246884,95,48.13,39.59,30.35,7.4,48.13
166,Fortuna,80,ES,1543246851,49,38.18,-1.13,55.37,16.8,38.18
167,Saint George,24,GR,1543246887,80,39.45,22.34,57.67,9.42,39.45
168,Poum,88,MK,1543246888,98,41.28,20.71,44.93,2.26,41.28
169,Severodvinsk,32,RU,1543246889,100,64.56,39.82,24.37,10.87,64.56
170,Mao,68,DO,1543246665,91,19.55,-71.08,78.64,5.73,19.55
171,Zhanaozen,36,KZ,1543246892,80,43.35,52.85,27.34,2.26,43.35
172,Folldal,12,NO,1543246893,45,62.14,10.0,-3.31,3.49,62.14
173,Calama,0,CL,1543246894,35,-22.46,-68.93,66.98,3.94,22.46
174,Yaan,0,NG,1543246895,32,7.38,8.57,98.44,4.38,7.38
175,Kijang,0,KR,1543246896,79,35.24,129.21,27.79,2.15,35.24
176,Necochea,48,AR,1543246648,73,-38.55,-58.74,72.83,8.08,38.55
177,Panjab,32,AF,1543246898,64,34.38,67.02,28.1,5.39,34.38
178,Sao Filipe,0,CV,1543246900,87,14.9,-24.5,77.6,14.79,14.9
179,Klaksvik,80,FO,1543246901,100,62.23,-6.59,39.04,9.53,62.23
180,Mayo,48,CA,1543246903,78,63.59,-135.9,16.31,7.18,63.59
181,Killybegs,20,IE,1543246904,100,54.63,-8.45,43.54,12.21,54.63
182,Sorong,36,ID,1543246906,100,-0.86,131.25,83.72,4.38,0.86
183,Preobrazheniye,0,RU,1543246907,86,42.9,133.91,38.99,4.61,42.9
184,New Norfolk,80,AU,1543246908,100,-42.78,147.06,51.59,2.59,42.78
185,Dingle,0,PH,1543246909,82,11.0,122.67,77.33,10.65,11.0
186,Vao,32,EE,1543246910,95,59.1,26.19,30.04,4.94,59.1
187,Northam,36,GB,1543246912,95,51.04,-4.21,43.94,3.83,51.04
188,Buchanan,0,LR,1543246913,83,5.88,-10.05,85.97,6.62,5.88
189,Fereydunshahr,0,IR,1543246914,60,32.94,50.12,30.94,4.61,32.94
190,Kahului,8,US,1543246811,100,20.89,-156.47,68.15,5.17,20.89
191,Pevek,64,RU,1543246916,100,69.7,170.27,-13.3,2.59,69.7
192,Ponta Delgada,88,PT,1543246917,99,37.73,-25.67,64.6,24.74,37.73
193,Lere,8,TD,1543246919,22,9.66,14.23,98.12,7.07,9.66
194,Kamaishi,0,JP,1543246920,83,39.28,141.86,31.84,4.72,39.28
195,Chara,24,GR,1543246921,80,39.42,22.43,57.67,9.42,39.42
196,Kurilsk,12,RU,1543246922,100,45.23,147.88,40.61,14.34,45.23
197,Hualmay,24,PE,1543246924,71,-11.1,-77.61,69.37,5.28,11.1
198,Kavieng,80,PG,1543246925,100,-2.57,150.8,84.67,9.98,2.57
199,Maningrida,36,AU,1543246926,80,-12.05,134.23,86.65,14.67,12.05
200,Nyurba,8,RU,1543246927,67,63.29,118.35,-35.76,2.71,63.29
201,Mocuba,48,MZ,1543246928,79,-16.84,36.99,79.27,5.61,16.84
202,Tromso,64,NO,1543246930,89,69.65,18.96,26.84,4.94,69.65
203,Huanan,20,CN,1543246931,57,46.24,130.56,38.99,16.58,46.24
204,Tikhvin,80,RU,1543246932,87,59.64,33.53,23.2,4.16,59.64
205,Qaqortoq,0,GL,1543246933,86,60.72,-46.03,31.12,5.84,60.72
206,Pemba,0,MZ,1543246935,100,-12.97,40.52,81.2,7.63,12.97
207,Ostrovnoy,76,RU,1543246936,92,68.05,39.51,16.99,7.29,68.05
208,Saldanha,0,PT,1543246937,77,41.42,-6.55,49.7,7.96,41.42
209,Inhambane,12,MZ,1543246708,72,-23.87,35.38,83.32,13.78,23.87
210,Port Hedland,0,AU,1543246939,79,-20.31,118.58,72.38,10.09,20.31
211,Geraldton,88,CA,1543246941,75,49.72,-86.95,16.22,7.29,49.72
212,Puri,80,ID,1543246942,94,-7.54,112.45,71.89,2.59,7.54
213,Shelburne,92,CA,1543246943,100,44.08,-80.2,34.4,17.92,44.08
214,Sukumo,80,JP,1543246944,87,32.94,132.72,54.34,3.15,32.94
215,Kroya,36,ID,1543246945,89,-6.5,108.06,74.72,3.38,6.5
216,Ngunguru,100,NZ,1543246947,98,-35.62,174.5,63.29,11.21,35.62
217,Riyadh,0,SA,1543246948,60,24.63,46.72,61.72,7.96,24.63
218,Yueyang,0,CN,1543246949,87,29.36,113.12,43.94,3.27,29.36
219,Bud,76,NO,1543246950,100,62.91,6.91,35.12,1.36,62.91
220,Coahuayana,0,MX,1543246951,47,18.62,-100.35,71.66,2.93,18.62
221,Greytown,36,ZA,1543246953,49,-29.06,30.59,81.02,2.93,29.06
